Nom modifié;Nom original
Les Odyssées du Louvre 615  Henri IV roi de France et de Navarre;Les Odyssées du Louvre 6/15 : Henri IV, roi de France et de Navarre
Les Odyssées du Louvre 715  Jacques Jaujard le sauveur du Louvre;Les Odyssées du Louvre 7/15 : Jacques Jaujard, le sauveur du Louvre
Les Odyssées du Louvre 815  Pazuzu le roi des démons de lempire assyrien;Les Odyssées du Louvre 8/15 : Pazuzu, le roi des démons de l'empire assyrien
Les Odyssées du Louvre 915  MichelAnge lartiste qui voulait repousser les limites;Les Odyssées du Louvre 9/15 : Michel-Ange, l’artiste qui voulait repousser les limites
Les Odyssées du Louvre 1015  Marie de Médicis reine de France;Les Odyssées du Louvre 10/15 : Marie de Médicis, reine de France
Les Odyssées du Louvre 1115  Richelieu Le cardinal à la main de fer;Les Odyssées du Louvre 11/15 : Richelieu, Le cardinal à la main de fer
Les Odyssées du Louvre 1215  Enheduanna première poétesse de lhistoire;Les Odyssées du Louvre 12/15 : Enheduanna, première poétesse de l'histoire
Les Odyssées du Louvre 1315  Champollion le génial déchiffreur des hiéroglyphes;Les Odyssées du Louvre 13/15 : Champollion le génial déchiffreur des hiéroglyphes
Les Odyssées du Louvre 1415  Eugène Delacroix grand peintre romantique;Les Odyssées du Louvre 14/15 : Eugène Delacroix, grand peintre romantique
Les Odyssées du Louvre 1515  Enquête autour de la fascinante Vénus de Milo;Les Odyssées du Louvre 15/15 : Enquête autour de la fascinante Vénus de Milo
Alexandre Jacob  cambrioleur et justicier;Alexandre Jacob : cambrioleur et justicier
Socrate  le premier philosophe grec;Socrate : le premier philosophe grec
Une aventurière sur les routes de lHimalaya  Alexandra DavidNéel;Une aventurière sur les routes de l’Himalaya : Alexandra David-Néel
Jane Goodall une vie à observer les chimpanzés Episode 1;Jane Goodall, une vie à observer les chimpanzés. Episode 1
Jane Goodall une vie à observer les chimpanzés Episode 2;Jane Goodall, une vie à observer les chimpanzés. Episode 2
Les aventuriers du grand froid  lexpédition dErnest Shackleton;Les aventuriers du grand froid : l'expédition d'Ernest Shackleton.
Puyi  lhistoire incroyable du dernier empereur de Chine;Puyi : l’histoire incroyable du dernier empereur de Chine.
Les Odyssées dAlexandre Dumas 1 sur 4  DArtagnan rencontre les Trois Mousquetaires;Les Odyssées d'Alexandre Dumas 1 sur 4  D'Artagnan rencontre les Trois Mousquetaires
Les Odyssées dAlexandre Dumas 2 sur 4  Les Trois Mousquetaires et lhomme au masque de fer;Les Odyssées d'Alexandre Dumas 2 sur 4  Les Trois Mousquetaires et l'homme au masque de fer
Les Odyssées dAlexandre Dumas 3 sur 4  Le Comte de MonteCristo;Les Odyssées d'Alexandre Dumas 3 sur 4  Le Comte de Monte-Cristo
Les Odyssées dAlexandre Dumas 4 sur 4  Le Chevalier de MaisonRouge au secours de MarieAntoinette;Les Odyssées d'Alexandre Dumas 4 sur 4  Le Chevalier de Maison-Rouge au secours de Marie-Antoinette
